=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-05-16_16-44-15
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): 960.0 Hz
Epoch 41 | Train Loss: 2.3652 | Train Accuracy: 21.87% | Validation Loss: 2.3317 | Validation Accuracy: 24.18%
Epoch 42 | Train Loss: 2.3615 | Train Accuracy: 22.05% | Validation Loss: 2.3293 | Validation Accuracy: 24.26%
Epoch 43 | Train Loss: 2.3584 | Train Accuracy: 22.14% | Validation Loss: 2.3260 | Validation Accuracy: 24.41%
Epoch 44 | Train Loss: 2.3574 | Train Accuracy: 22.14% | Validation Loss: 2.3250 | Validation Accuracy: 24.43%
Epoch 45 | Train Loss: 2.3555 | Train Accuracy: 22.12% | Validation Loss: 2.3247 | Validation Accuracy: 24.41%
Epoch 46 | Train Loss: 2.3536 | Train Accuracy: 22.10% | Validation Loss: 2.3233 | Validation Accuracy: 24.44%
Epoch 47 | Train Loss: 2.3526 | Train Accuracy: 22.20% | Validation Loss: 2.3261 | Validation Accuracy: 24.40%
Epoch 48 | Train Loss: 2.3510 | Train Accuracy: 22.37% | Validation Loss: 2.3215 | Validation Accuracy: 24.54%
Epoch 49 | Train Loss: 2.3494 | Train Accuracy: 22.40% | Validation Loss: 2.3171 | Validation Accuracy: 24.56%
Epoch 50 | Train Loss: 2.3461 | Train Accuracy: 22.41% | Validation Loss: 2.3205 | Validation Accuracy: 24.56%
Epoch 51 | Train Loss: 2.3457 | Train Accuracy: 22.28% | Validation Loss: 2.3158 | Validation Accuracy: 24.66%
Epoch 52 | Train Loss: 2.3449 | Train Accuracy: 22.37% | Validation Loss: 2.3180 | Validation Accuracy: 24.59%
Epoch 53 | Train Loss: 2.3452 | Train Accuracy: 22.33% | Validation Loss: 2.3130 | Validation Accuracy: 24.75%
Epoch 54 | Train Loss: 2.3421 | Train Accuracy: 22.47% | Validation Loss: 2.3155 | Validation Accuracy: 24.67%
Epoch 55 | Train Loss: 2.3432 | Train Accuracy: 22.35% | Validation Loss: 2.3143 | Validation Accuracy: 24.72%
Epoch 56 | Train Loss: 2.3391 | Train Accuracy: 22.32% | Validation Loss: 2.3159 | Validation Accuracy: 24.73%
Epoch 57 | Train Loss: 2.3397 | Train Accuracy: 22.67% | Validation Loss: 2.3129 | Validation Accuracy: 24.81%
Epoch 58 | Train Loss: 2.3384 | Train Accuracy: 22.64% | Validation Loss: 2.3115 | Validation Accuracy: 24.86%
Epoch 59 | Train Loss: 2.3405 | Train Accuracy: 22.46% | Validation Loss: 2.3110 | Validation Accuracy: 24.87%
Epoch 60 | Train Loss: 2.3380 | Train Accuracy: 22.71% | Validation Loss: 2.3106 | Validation Accuracy: 24.84%
Epoch 61 | Train Loss: 2.3369 | Train Accuracy: 22.64% | Validation Loss: 2.3096 | Validation Accuracy: 24.87%
Epoch 62 | Train Loss: 2.3361 | Train Accuracy: 22.53% | Validation Loss: 2.3110 | Validation Accuracy: 24.86%
Epoch 63 | Train Loss: 2.3353 | Train Accuracy: 22.68% | Validation Loss: 2.3108 | Validation Accuracy: 24.86%
Epoch 64 | Train Loss: 2.3357 | Train Accuracy: 22.61% | Validation Loss: 2.3090 | Validation Accuracy: 24.90%
Epoch 65 | Train Loss: 2.3385 | Train Accuracy: 22.46% | Validation Loss: 2.3105 | Validation Accuracy: 24.87%
Epoch 66 | Train Loss: 2.3342 | Train Accuracy: 22.74% | Validation Loss: 2.3085 | Validation Accuracy: 24.89%
Epoch 67 | Train Loss: 2.3334 | Train Accuracy: 22.87% | Validation Loss: 2.3094 | Validation Accuracy: 24.88%
Epoch 68 | Train Loss: 2.3340 | Train Accuracy: 22.74% | Validation Loss: 2.3091 | Validation Accuracy: 24.87%
Epoch 69 | Train Loss: 2.3329 | Train Accuracy: 22.86% | Validation Loss: 2.3076 | Validation Accuracy: 24.91%
Epoch 70 | Train Loss: 2.3324 | Train Accuracy: 22.70% | Validation Loss: 2.3085 | Validation Accuracy: 24.87%
Epoch 71 | Train Loss: 2.3345 | Train Accuracy: 22.72% | Validation Loss: 2.3080 | Validation Accuracy: 24.90%
Epoch 72 | Train Loss: 2.3319 | Train Accuracy: 22.70% | Validation Loss: 2.3078 | Validation Accuracy: 24.88%
Epoch 73 | Train Loss: 2.3330 | Train Accuracy: 22.73% | Validation Loss: 2.3078 | Validation Accuracy: 24.87%
Epoch 74 | Train Loss: 2.3323 | Train Accuracy: 22.66% | Validation Loss: 2.3075 | Validation Accuracy: 24.89%
Epoch 75 | Train Loss: 2.3333 | Train Accuracy: 22.74% | Validation Loss: 2.3074 | Validation Accuracy: 24.91%
Epoch 76 | Train Loss: 2.3330 | Train Accuracy: 22.64% | Validation Loss: 2.3076 | Validation Accuracy: 24.91%
Epoch 77 | Train Loss: 2.3333 | Train Accuracy: 22.71% | Validation Loss: 2.3073 | Validation Accuracy: 24.93%
Epoch 78 | Train Loss: 2.3332 | Train Accuracy: 22.67% | Validation Loss: 2.3069 | Validation Accuracy: 24.91%
Epoch 79 | Train Loss: 2.3306 | Train Accuracy: 22.87% | Validation Loss: 2.3069 | Validation Accuracy: 24.90%
Epoch 80 | Train Loss: 2.3351 | Train Accuracy: 22.57% | Validation Loss: 2.3071 | Validation Accuracy: 24.89%
Epoch 81 | Train Loss: 2.3318 | Train Accuracy: 22.83% | Validation Loss: 2.3066 | Validation Accuracy: 24.90%
Epoch 82 | Train Loss: 2.3313 | Train Accuracy: 22.66% | Validation Loss: 2.3064 | Validation Accuracy: 24.92%
Epoch 83 | Train Loss: 2.3306 | Train Accuracy: 22.63% | Validation Loss: 2.3062 | Validation Accuracy: 24.93%
Epoch 84 | Train Loss: 2.3310 | Train Accuracy: 22.92% | Validation Loss: 2.3062 | Validation Accuracy: 24.93%
Epoch 85 | Train Loss: 2.3312 | Train Accuracy: 22.88% | Validation Loss: 2.3062 | Validation Accuracy: 24.92%
Epoch 86 | Train Loss: 2.3330 | Train Accuracy: 22.77% | Validation Loss: 2.3061 | Validation Accuracy: 24.92%
Epoch 87 | Train Loss: 2.3318 | Train Accuracy: 22.71% | Validation Loss: 2.3058 | Validation Accuracy: 24.92%
Epoch 88 | Train Loss: 2.3301 | Train Accuracy: 22.80% | Validation Loss: 2.3060 | Validation Accuracy: 24.92%
Epoch 89 | Train Loss: 2.3319 | Train Accuracy: 22.70% | Validation Loss: 2.3064 | Validation Accuracy: 24.90%
Epoch 90 | Train Loss: 2.3310 | Train Accuracy: 22.78% | Validation Loss: 2.3056 | Validation Accuracy: 24.92%
Epoch 91 | Train Loss: 2.3291 | Train Accuracy: 22.73% | Validation Loss: 2.3054 | Validation Accuracy: 24.92%
Epoch 92 | Train Loss: 2.3292 | Train Accuracy: 22.83% | Validation Loss: 2.3056 | Validation Accuracy: 24.92%
